window,index,time,pnl,equity,dd_pct
MAIN,156,2023-09-19 08:51:40,0.29,9913.65,1.120586
MAIN,157,2023-09-20 04:15:40,0.27,9913.92,1.117893
MAIN,158,2023-09-27 19:13:40,-59.00,9854.92,1.706363
MAIN,159,2023-09-28 15:34:40,-1.70,9853.22,1.723319
MAIN,160,2023-09-28 22:25:40,0.74,9853.96,1.715939
MAIN,161,2023-09-29 17:30:40,1.67,9855.63,1.699282
MAIN,162,2023-10-09 21:56:40,-5.67,9849.96,1.755835
MAIN,163,2023-10-10 11:35:40,0.89,9850.85,1.746958
MAIN,164,2023-10-12 20:20:40,0.99,9851.84,1.737084
MAIN,165,2023-10-16 12:39:40,0.99,9852.83,1.727209
MAIN,166,2023-10-17 04:45:40,1.01,9853.84,1.717135
MAIN,167,2023-10-17 05:36:40,0.79,9854.63,1.709256
MAIN,168,2023-10-23 04:39:40,1.52,9856.15,1.694095
MAIN,169,2023-10-24 18:55:40,1.45,9857.60,1.679633
MAIN,170,2023-10-26 16:38:40,2.25,9859.85,1.657191
MAIN,171,2023-10-26 17:36:40,1.69,9861.54,1.640335
MAIN,172,2023-10-27 14:00:40,0.97,9862.51,1.630660
MAIN,173,2023-10-27 14:41:40,0.94,9863.45,1.621285
MAIN,174,2023-10-30 10:11:40,0.81,9864.26,1.613206
MAIN,175,2023-10-30 12:20:40,1.14,9865.40,1.601835
MAIN,176,2023-10-31 07:46:40,0.87,9866.27,1.593158
MAIN,177,2023-10-31 22:16:20,1.21,9867.48,1.581089
MAIN,178,2023-11-01 04:06:40,0.65,9868.13,1.574606
MAIN,179,2023-11-01 05:04:40,1.02,9869.15,1.564432
MAIN,180,2023-11-01 05:32:40,0.61,9869.76,1.558348
MAIN,181,2023-11-01 07:04:00,0.61,9870.37,1.552264
MAIN,182,2023-11-01 07:27:40,0.69,9871.06,1.545382
MAIN,183,2023-11-01 07:36:40,1.21,9872.27,1.533313
MAIN,184,2023-11-01 21:45:40,2.05,9874.32,1.512867
MAIN,185,2023-11-06 05:31:00,0.74,9875.06,1.505486
MAIN,186,2023-11-06 05:46:40,0.75,9875.81,1.498005
MAIN,187,2023-11-06 18:01:40,1.20,9877.01,1.486036
