window,index,time,pnl,equity,dd_pct
MAIN,55,2025-03-03 01:05:00,38.90,8841.28,11.995103
MAIN,56,2025-03-03 01:05:00,25.51,8866.79,11.741180
MAIN,57,2025-03-03 01:05:00,11.43,8878.22,11.627407
MAIN,58,2025-03-03 01:05:00,-2.41,8875.81,11.651396
MAIN,59,2025-04-07 04:01:40,15.82,8891.63,11.493926
MAIN,60,2025-05-12 22:26:40,12.20,8903.83,11.372489
MAIN,61,2025-05-14 16:52:40,10.18,8914.01,11.271158
MAIN,62,2025-05-15 13:09:40,50.62,8964.63,10.767294
MAIN,63,2025-05-15 13:09:40,26.27,8990.90,10.505806
MAIN,64,2025-05-15 13:09:40,4.55,8995.45,10.460516
MAIN,65,2025-05-15 13:09:40,-16.16,8979.29,10.621370
MAIN,66,2025-06-27 20:47:40,23.12,9002.41,10.391237
MAIN,67,2025-06-27 20:47:40,8.91,9011.32,10.302548
MAIN,68,2025-06-30 04:19:40,7.71,9019.03,10.225803
MAIN,69,2025-07-31 02:43:40,6.24,9025.27,10.163691
MAIN,70,2025-10-28 13:39:40,18.75,9044.02,9.977056
MAIN,71,2025-12-29 22:06:20,16.09,9060.11,9.816899
MAIN,72,2025-12-30 03:49:40,15.88,9075.99,9.658831
BWD,1,2020-02-04 22:09:40,2.78,10002.78,0.000000
BWD,2,2020-02-28 21:50:20,23.96,10026.74,0.000000
BWD,3,2020-02-28 21:50:20,8.99,10035.73,0.000000
BWD,4,2020-03-13 08:37:40,27.83,10063.56,0.000000
BWD,5,2020-03-13 08:37:40,10.68,10074.24,0.000000
BWD,6,2020-03-13 21:09:40,12.58,10086.82,0.000000
BWD,7,2020-03-16 16:56:40,15.40,10102.22,0.000000
BWD,8,2020-05-27 10:11:40,2.78,10105.00,0.000000
BWD,9,2020-05-27 13:06:40,2.83,10107.83,0.000000
BWD,10,2020-05-27 16:53:40,3.68,10111.51,0.000000
BWD,11,2020-06-04 04:29:20,1.07,10112.58,0.000000
BWD,12,2020-06-08 04:13:40,3.12,10115.70,0.000000
BWD,13,2020-08-12 05:06:40,-90.81,10024.89,0.897713
BWD,14,2020-08-12 10:36:40,56.07,10080.96,0.343427
BWD,15,2020-08-12 10:36:40,23.71,10104.67,0.109038
BWD,16,2020-08-12 10:36:40,6.32,10110.99,0.046561
BWD,17,2020-08-12 10:36:40,-12.48,10098.51,0.169934
BWD,18,2020-09-21 20:30:40,4.68,10103.19,0.123669
BWD,19,2020-09-23 12:09:40,5.87,10109.06,0.065641
BWD,20,2020-09-23 16:15:20,6.08,10115.14,0.005536
BWD,21,2020-09-28 20:31:40,23.55,10138.69,0.000000
BWD,22,2020-09-28 20:31:40,9.00,10147.69,0.000000
BWD,23,2020-10-29 02:43:00,3.11,10150.80,0.000000
BWD,24,2020-10-29 16:32:40,3.76,10154.56,0.000000
BWD,25,2020-10-30 04:47:40,3.44,10158.00,0.000000
BWD,26,2020-11-20 16:11:40,20.46,10178.46,0.000000
BWD,27,2020-11-20 16:11:40,13.10,10191.56,0.000000
BWD,28,2020-12-02 11:53:40,60.67,10252.23,0.000000
BWD,29,2020-12-02 11:53:40,44.71,10296.94,0.000000
BWD,30,2020-12-02 11:53:40,34.08,10331.02,0.000000
BWD,31,2020-12-02 11:53:40,19.76,10350.78,0.000000
BWD,32,2020-12-02 11:53:40,4.47,10355.25,0.000000
BWD,33,2020-12-02 11:53:40,-3.43,10351.82,0.033123
BWD,34,2020-12-02 11:53:40,-11.69,10340.13,0.146013
BWD,35,2020-12-02 11:53:40,-20.29,10319.84,0.341952
BWD,36,2021-01-11 01:05:00,25.54,10345.38,0.095314
BWD,37,2021-01-11 01:05:00,9.67,10355.05,0.001931
BWD,38,2021-01-11 04:47:40,6.98,10362.03,0.000000
BWD,39,2021-01-11 08:32:40,7.90,10369.93,0.000000
BWD,40,2021-01-11 16:39:40,7.29,10377.22,0.000000
BWD,41,2021-02-04 14:48:40,3.81,10381.03,0.000000
BWD,42,2021-02-08 01:05:00,26.77,10407.80,0.000000
BWD,43,2021-02-08 01:05:00,17.29,10425.09,0.000000
BWD,44,2021-02-08 01:05:00,7.44,10432.53,0.000000
BWD,45,2021-02-22 15:14:40,32.37,10464.90,0.000000
BWD,46,2021-02-22 15:14:40,19.64,10484.54,0.000000
BWD,47,2021-02-22 15:14:40,10.56,10495.10,0.000000
BWD,48,2021-02-22 15:14:40,1.76,10496.86,0.000000
BWD,49,2021-02-26 23:20:40,6.00,10502.86,0.000000
BWD,50,2021-03-02 14:54:40,22.74,10525.60,0.000000
BWD,51,2021-03-02 14:54:40,10.08,10535.68,0.000000
BWD,52,2021-03-05 08:01:40,4.87,10540.55,0.000000
BWD,53,2021-04-01 10:12:40,26.05,10566.60,0.000000
BWD,54,2021-04-01 10:12:40,19.13,10585.73,0.000000
BWD,55,2021-04-01 10:12:40,12.48,10598.21,0.000000
BWD,56,2021-04-01 10:12:40,6.76,10604.97,0.000000
BWD,57,2021-06-04 15:32:40,25.82,10630.79,0.000000
BWD,58,2021-06-04 15:32:40,17.03,10647.82,0.000000
BWD,59,2021-06-04 15:32:40,9.84,10657.66,0.000000
BWD,60,2021-06-17 17:07:40,-94.04,10563.62,0.882370
BWD,61,2021-06-17 18:31:40,-94.04,10469.58,1.764740
BWD,62,2021-06-29 15:43:40,-102.13,10367.45,2.723018
BWD,63,2021-06-29 15:53:40,-100.51,10266.94,3.666096
BWD,64,2021-07-14 15:12:40,57.03,10323.97,3.130987
BWD,65,2021-07-14 15:12:40,44.48,10368.45,2.713635
BWD,66,2021-07-14 15:12:40,25.86,10394.31,2.470993
BWD,67,2021-07-14 15:12:40,8.24,10402.55,2.393677
BWD,68,2021-07-14 15:12:40,-11.97,10390.58,2.505991
BWD,69,2021-07-14 15:12:40,-27.03,10363.55,2.759611
BWD,70,2021-08-09 01:57:40,-90.81,10272.74,3.611675
BWD,71,2021-08-09 01:57:40,-90.81,10181.93,4.463738
BWD,72,2021-08-09 01:57:40,-90.81,10091.12,5.315801
BWD,73,2021-08-09 04:04:40,71.11,10162.23,4.648581
BWD,74,2021-08-09 04:04:40,14.16,10176.39,4.515719
BWD,75,2021-08-09 04:04:40,-1.93,10174.46,4.533828
BWD,76,2021-08-09 04:04:40,-18.14,10156.32,4.704034
BWD,77,2021-08-09 08:28:40,6.02,10162.34,4.647549
BWD,78,2021-08-11 18:47:40,31.07,10193.41,4.356022
BWD,79,2021-08-11 18:47:40,15.56,10208.97,4.210024
BWD,80,2021-08-11 18:47:40,2.23,10211.20,4.189100
BWD,81,2021-09-08 03:40:40,2.47,10213.67,4.165924
BWD,82,2021-09-09 11:13:40,0.36,10214.03,4.162546
BWD,83,2021-09-21 15:25:40,25.14,10239.17,3.926659
BWD,84,2021-09-21 15:25:40,15.94,10255.11,3.777096
