schema_version,created_utc,view_type,window,year,entry_month,symbol,tf,session_state,eligible_unit_count,participation_share,gross_profit,gross_loss,net_realized,profit_factor,winning_unit_count,losing_unit_count,zero_unit_count,partition_realized_equity_dd
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,AUDUSD,M15,OUTSIDE_DEFINED_SESSION,1,0.05000000,10.54,0.00,10.54,,1,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H1,LONDON,1,0.16666667,1.58,0.00,1.58,,1,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H1,LONDON_NY_OVERLAP,4,0.66666667,11.32,115.18,-103.86,0.098281,3,1,0,115.18
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H1,NEW_YORK_ONLY,1,0.16666667,2.26,0.00,2.26,,1,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H4,ASIA,10,0.18518519,96.76,0.00,96.76,,10,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H4,LONDON,8,0.14814815,66.40,0.00,66.40,,8,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H4,LONDON_NY_OVERLAP,18,0.33333333,105.54,0.00,105.54,,18,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H4,NEW_YORK_ONLY,6,0.11111111,43.13,0.00,43.13,,6,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,H4,OUTSIDE_DEFINED_SESSION,12,0.22222222,62.56,1.74,60.82,35.954023,9,3,0,1.74
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,M15,ASIA,5,0.20000000,22.81,0.28,22.53,81.464286,4,1,0,0.28
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,M15,LONDON,3,0.12000000,13.26,0.00,13.26,,3,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,M15,LONDON_NY_OVERLAP,4,0.16000000,32.17,0.00,32.17,,4,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,M15,NEW_YORK_ONLY,8,0.32000000,34.18,38.95,-4.77,0.877535,7,1,0,38.95
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,BTCUSD,M15,OUTSIDE_DEFINED_SESSION,5,0.20000000,18.08,0.00,18.08,,5,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H1,ASIA,6,0.18181818,75.88,0.00,75.88,,6,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H1,LONDON,9,0.27272727,76.13,0.00,76.13,,9,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H1,LONDON_NY_OVERLAP,13,0.39393939,85.55,388.42,-302.87,0.220251,11,2,0,388.42
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,EURUSD,H1,NEW_YORK_ONLY,3,0.09090909,53.43,0.00,53.43,,3,0,0,0.00
