"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"23","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS1","1.23","33","6.29","0.12","54.55","2.37","OK"
"23","TpAtrMult5.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.79","90","-25.83","0.48","41.11","-2.83","OK"
"24","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult1.5","IS","1.05","253","10.27","0.20","45.45","1.04","OK"
"24","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS1","0.85","120","-16.32","0.35","40.00","-3.18","OK"
"24","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS2","0.85","358","-56.67","1.04","39.39","-3.18","OK"
"25","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","1.07","253","16.63","0.23","50.99","1.40","OK"
"25","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS1","0.90","120","-11.30","0.30","47.50","-1.85","OK"
"25","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.93","358","-28.02","0.84","47.49","-1.29","OK"
"26","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","1.06","253","13.40","0.27","54.94","1.01","OK"
"26","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS1","0.92","120","-10.25","0.30","50.83","-1.50","OK"
"26","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.89","358","-46.43","1.10","49.72","-1.91","OK"
"27","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult1.5","IS","1.07","253","15.67","0.17","39.92","1.25","OK"
"27","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS1","0.86","120","-16.65","0.38","36.67","-2.71","OK"
"27","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult1.5","OOS2","0.79","358","-83.99","1.37","33.80","-3.76","OK"
"28","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","1.11","253","26.01","0.22","45.45","1.76","OK"
"28","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS1","0.89","120","-13.93","0.40","43.33","-1.90","OK"
