window,index,time,pnl,equity,dd_pct
MAIN,113,2024-01-30 04:27:40,0.45,10084.07,0.076399
MAIN,114,2024-01-31 18:07:40,1.00,10085.07,0.066490
MAIN,115,2024-01-31 19:09:40,1.01,10086.08,0.056482
MAIN,116,2024-02-20 18:14:40,0.37,10086.45,0.052815
MAIN,117,2024-02-27 11:29:40,0.27,10086.72,0.050140
MAIN,118,2024-03-01 03:03:40,0.87,10087.59,0.041519
MAIN,119,2024-03-05 18:02:40,0.34,10087.93,0.038150
MAIN,120,2024-03-06 10:00:40,0.37,10088.30,0.034484
MAIN,121,2024-03-06 17:00:20,0.72,10089.02,0.027349
MAIN,122,2024-03-06 19:15:40,0.66,10089.68,0.020809
MAIN,123,2024-03-15 17:42:40,0.90,10090.58,0.011891
MAIN,124,2024-04-04 22:02:40,0.52,10091.10,0.006738
MAIN,125,2024-04-04 23:02:40,0.35,10091.45,0.003270
MAIN,126,2024-04-05 04:34:40,0.49,10091.94,0.000000
MAIN,127,2024-04-19 06:00:40,0.77,10092.71,0.000000
MAIN,128,2024-05-02 00:09:40,1.29,10094.00,0.000000
MAIN,129,2024-05-02 01:00:40,2.62,10096.62,0.000000
MAIN,130,2024-05-02 16:08:40,1.38,10098.00,0.000000
MAIN,131,2024-05-07 05:26:40,0.78,10098.78,0.000000
MAIN,132,2024-05-15 12:18:40,0.42,10099.20,0.000000
MAIN,133,2024-05-15 16:54:40,0.64,10099.84,0.000000
MAIN,134,2024-05-15 21:12:40,0.97,10100.81,0.000000
MAIN,135,2024-05-16 11:22:40,0.85,10101.66,0.000000
MAIN,136,2024-05-30 10:29:40,0.43,10102.09,0.000000
MAIN,137,2024-06-04 03:44:20,0.57,10102.66,0.000000
MAIN,138,2024-06-05 06:00:40,1.24,10103.90,0.000000
MAIN,139,2024-06-12 21:00:40,0.94,10104.84,0.000000
MAIN,140,2024-07-04 15:31:40,0.42,10105.26,0.000000
MAIN,141,2024-07-05 08:06:40,0.51,10105.77,0.000000
MAIN,142,2024-07-05 09:40:40,0.40,10106.17,0.000000
MAIN,143,2024-07-11 16:31:40,0.77,10106.94,0.000000
MAIN,144,2024-07-11 17:46:20,1.11,10108.05,0.000000
MAIN,145,2024-07-11 20:04:40,1.02,10109.07,0.000000
