set,tf,window,PF,Trades,Net,Win
C_LB15_P9,H1,MAIN,0.88,-146.96,329,3.27,31.31,-0.45,-0.52,OK
C_LB15_P9,H1,BWD,0.82,-352.59,406,4.33,29.56,-0.81,-0.94,OK
C_LB20_P14,H1,MAIN,0.77,-292.90,325,3.87,28.92,-0.75,-1.07,OK
C_LB20_P14,H1,BWD,,,,,,,,NO_REPORT
C_LB20_P21,H1,MAIN,0.78,-276.83,323,3.76,30.03,-0.73,-1.01,OK
C_LB20_P21,H1,BWD,0.85,-294.73,399,4.63,31.58,-0.63,-0.77,OK
C_LB20_P9,H1,MAIN,0.88,-144.79,323,2.58,31.89,-0.56,-0.53,OK
C_LB20_P9,H1,BWD,0.84,-296.95,387,3.84,31.52,-0.77,-0.81,OK
C_LB30_P14,H1,MAIN,0.86,-141.60,270,1.83,30.74,-0.77,-0.53,OK
C_LB30_P14,H1,BWD,1.11,178.48,348,3.16,35.34,0.56,0.49,OK
C_LB30_P21,H1,MAIN,0.88,-130.80,287,1.78,31.01,-0.73,-0.49,OK
C_LB30_P21,H1,BWD,1.12,185.11,341,2.08,35.19,0.87,0.51,OK
C_LB30_P9,H1,MAIN,0.84,-171.69,279,2.10,30.11,-0.81,-0.65,OK
C_LB30_P9,H1,BWD,1.06,95.01,356,1.90,34.83,0.49,0.27,OK
