combo,window,PF,Trades,DDpct,RF,Net,status
T2A_SMA20_P9,MAIN,0.88,450,8.32,-0.86,-717.15,ok
T2A_SMA20_P9,BWD,0.85,477,8.56,-0.71,-614.00,ok
T2A_SMA30_P14,MAIN,0.97,444,6.54,-0.26,-179.54,ok
T2A_SMA30_P14,BWD,0.76,378,,-0.83,-856.25,ok
T2A_SMA30_P21,MAIN,0.89,437,7.26,-0.78,-578.63,ok
T2A_SMA30_P21,BWD,0.72,371,,-0.83,-950.72,ok
T2A_SMA30_P9,MAIN,0.86,477,,-0.63,-817.57,ok
T2A_SMA30_P9,BWD,0.83,448,9.65,-0.70,-686.12,ok
T2C_LB10_P14,MAIN,0.88,314,,-0.63,-671.96,ok
T2C_LB10_P14,BWD,0.90,311,6.73,-0.51,-352.56,ok
T2C_LB10_P21,MAIN,0.87,293,,-0.60,-661.14,ok
T2C_LB10_P21,BWD,0.94,300,6.22,-0.34,-221.06,ok
T2C_LB10_P9,MAIN,0.88,318,,-0.52,-629.99,ok
T2C_LB10_P9,BWD,0.88,304,7.55,-0.57,-441.61,ok
T2C_LB15_P14,MAIN,0.97,288,6.31,-0.19,-122.95,ok
T2C_LB15_P14,BWD,0.96,287,4.48,-0.29,-134.32,ok
T2C_LB15_P21,MAIN,0.97,303,6.29,-0.21,-134.49,ok
T2C_LB15_P21,BWD,1.08,288,3.23,0.78,266.10,ok
T2C_LB15_P9,MAIN,0.92,312,,-0.37,-382.25,ok
T2C_LB15_P9,BWD,0.99,287,5.12,-0.05,-25.29,ok
T2C_LB20_P14,MAIN,1.00,283,6.48,0.01,8.42,ok
T2C_LB20_P14,BWD,0.94,286,3.45,-0.58,-203.35,ok
T2C_LB20_P21,MAIN,1.01,289,5.95,0.07,42.56,ok
T2C_LB20_P21,BWD,0.92,279,5.05,-0.56,-291.51,ok
T2C_LB20_P9,MAIN,1.00,307,9.32,-0.01,-5.39,ok
T2C_LB20_P9,BWD,0.96,259,5.18,-0.24,-127.37,ok
T2C_LB30_P14,MAIN,1.01,270,6.22,0.05,33.20,ok
T2C_LB30_P14,BWD,0.94,291,4.19,-0.49,-211.14,ok
T2C_LB30_P21,MAIN,1.00,281,5.62,0.02,13.39,ok
T2C_LB30_P21,BWD,0.94,272,3.83,-0.52,-201.40,ok
T2C_LB30_P9,MAIN,0.93,304,,-0.30,-357.07,ok
T2C_LB30_P9,BWD,0.92,278,5.81,-0.46,-273.40,ok
