"report_date","open_interest","net_noncomm","net_comm","net_pct_3y"
"2020-11-17","557533","251270","-294572","54.1"
"2020-11-24","555253","243902","-284829","44.4"
"2020-12-01","538042","260314","-293263","63"
"2020-12-08","549520","269220","-300723","70.3"
"2020-12-15","550366","271584","-306342","72.5"
"2020-12-21","560769","278196","-315099","75.7"
"2020-12-29","556414","268872","-307254","67.3"
"2021-01-05","568888","279318","-320923","76.2"
"2021-01-12","555538","246227","-290301","44.3"
"2021-01-19","541330","246638","-287467","44.9"
"2021-01-26","534574","257546","-298948","57.4"
"2021-02-02","520011","257126","-297957","56.9"
"2021-02-09","506741","251407","-292195","51.8"
"2021-02-16","503016","234969","-275078","29.7"
"2021-02-23","481125","215733","-251729","23.2"
"2021-03-02","467008","189638","-222203","21.2"
"2021-03-09","473871","175163","-207880","20.2"
"2021-03-16","476467","180196","-209475","20.9"
"2021-03-23","485457","174067","-201803","19.8"
"2021-03-30","467321","167528","-193726","19.7"
"2021-04-06","463353","189509","-214799","23.7"
"2021-04-13","460733","180874","-208788","22.7"
"2021-04-20","471738","181498","-213193","23.3"
"2021-04-27","473305","170619","-207177","19.8"
"2021-05-04","470341","170741","-201923","20.5"
"2021-05-11","498693","192255","-227084","27.6"
"2021-05-18","520410","198889","-232901","28.2"
"2021-05-25","510164","214642","-250869","30.4"
"2021-06-01","489198","213701","-248175","30.2"
"2021-06-08","491858","209387","-244806","29.9"
"2021-06-15","480127","192036","-231226","26.6"
"2021-06-22","453940","166214","-202382","17.8"
"2021-06-29","453360","162226","-195120","17.7"
"2021-07-06","465811","182821","-214726","25.2"
"2021-07-13","495798","190836","-221028","28"
"2021-07-20","490520","195972","-228548","30.1"
"2021-07-27","500187","199388","-228814","31.3"
"2021-08-03","485663","196335","-231284","30.4"
"2021-08-10","477232","168406","-195641","19.1"
"2021-08-17","485485","191542","-214000","28.5"
"2021-08-24","504735","210653","-234678","35.5"
"2021-08-31","507113","216550","-240512","38.1"
"2021-09-07","506772","206039","-235808","33.6"
"2021-09-14","506356","207760","-234251","34"
"2021-09-21","492765","187647","-212644","25.4"
"2021-09-28","490858","168399","-190151","18.2"
"2021-10-05","483789","182582","-203702","24.3"
"2021-10-12","484382","185539","-207614","26.2"
"2021-10-19","485974","193349","-219190","31.5"
"2021-10-26","509794","214560","-239654","39.5"
"2021-11-02","507616","215129","-239877","40.5"
"2021-11-09","571025","250181","-275489","62.4"
"2021-11-16","612612","259780","-287539","71.3"
"2021-11-23","559823","234411","-267834","46.4"
"2021-11-30","531868","225860","-258603","45.4"
"2021-12-07","499307","217185","-245623","41.2"
"2021-12-14","503709","202401","-231411","33.1"
"2021-12-21","500846","205811","-236029","34.2"
"2021-12-28","508912","213156","-245664","37.8"
"2022-01-04","502717","211355","-237458","37.2"
"2022-01-11","546516","199737","-225073","31.4"
"2022-01-18","539204","194207","-221068","28.2"
"2022-01-25","572078","220151","-249746","43.6"
"2022-02-01","515331","172142","-201342","16"
"2022-02-08","512842","186706","-211434","21.8"
"2022-02-15","558645","213613","-238875","37.2"
"2022-02-22","611488","243148","-269722","55.1"
"2022-03-01","615600","257622","-285809","69.9"
"2022-03-08","638502","274388","-306946","81.4"
"2022-03-15","617605","261788","-297441","72.4"
"2022-03-22","605191","248032","-281595","57.1"
"2022-03-29","574521","257596","-285937","67.9"
"2022-04-05","560666","245541","-278758","54.5"
"2022-04-12","577639","254287","-288093","65.4"
"2022-04-19","575202","239757","-275525","47.4"
"2022-04-26","557785","218024","-249294","35.9"
"2022-05-03","560441","199168","-231852","22.4"
"2022-05-10","571447","193315","-227756","18.6"
"2022-05-17","555756","175360","-206879","8.3"
"2022-05-24","530098","183813","-211947","11.5"
"2022-05-31","513722","172589","-200056","5.8"
