platform,hash,path,guess_symbol,guess_type
ex4,77d094342c7f691965ad65f649524213,.EA OK\Forex thai\Forexthai4pip.ex4,basket,unknown-ea
ex4,a6bf584bb65540895c4a2d626b6cb078,.EA OK\Forex thai\forexthaipop.blogspot.com v.1.ex4,basket,unknown-ea
ex4,af2e5c79c9bb5aa023e9203854488a70,.EA OK\FXCore100 EA v5.1 LATEST\Fxcore100_BUY.ex4,basket,unknown-ea
ex4,5f55c1b6a3f416695b7244c8653420e1,.EA OK\FXCore100 EA v5.1 LATEST\Fxcore100_SELL.ex4,basket,unknown-ea
ex4,53a38c96ad7d07c997d26640c9cd42cd,.EA OK\Gold_Kangaroo\Gold_Kangaroo.ex4,XAUUSD,unknown-ea
ex4,be20270faab7f258b3084d1ad2e47650,".EA OK\Miracle MT4 (audcad , audnzd , nzdcad 15 min).ex4",basket,unknown-ea
ex4,c83f4820138361d39960620e6be63360,.EA OK\Money Tree EA\MQL4\Experts\MoneyTree_Buy.ex4,basket,unknown-ea
ex4,55110a476da4ada8a6c587be8168e2f9,.EA OK\Money Tree EA\MQL4\Experts\MoneyTree_Sell.ex4,basket,unknown-ea
ex4,efb47ca59aa23efc1a79ea54a1d70408,.EA OK\Money Tree EA\THE MONEY TREE ROBOT 5_fix.ex4,basket,unknown-ea
ex4,d3cbc055ae340697c9fc0485d552a4a7,.EA OK\Money Tree EA\THE MONEY TREE ROBOT.ex4,basket,unknown-ea
ex4,f82634e7b41f0d9e53991a6e2d798608,.EA OK\North East Way EA\MQL4\Experts\North East Way _V1.306_Fix .ex4,basket,unknown-ea
ex5,cf52ebb5ed7573a12fcf417c53645c69,.EA OK\North East Way EA\MQL5\Experts\North East Way MT5 v1.309_fix.ex5,basket,unknown-ea
ex4,806dd97810e0a46cbd538e5c34d9ee00,.EA OK\OverRich 88 V9\experts\Over Rich 88 V9_fix.ex4,basket,unknown-ea
ex4,abde8ba06af8d8e30afc16447c524b87,.EA OK\PipFinite EA\Expert\PipFinite_EA.ex4,basket,unknown-ea
ex4,abc73c546d86d4db0d527c0954704f04,.EA OK\Scalper Inside PRO v4.4 (no dll)\Scalper Inside PRO v4.4 @SoftechFX_Robot.ex4,basket,scalper
ex4,916d26d7fa2b75a94cc317d9af1a3698,.EA OK\TPS SUPER FIGHTER FIX @FinTechFx\EA\TPS Super Fighter EA_fix.ex4,basket,unknown-ea
