"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","rough_family","already_known"
"exrvichimokugold","2","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\EX143 - Rv4.1  Ichimoku [GOLD].mq5","497.4","ATR;Ichimoku","y","trend","y"
"trendiskingnozigzag","2","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Trend is King V11(no zigzag).mq5","1176.7","MACD","y","trend","y"
"rhymeinoutsidebar","2","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\(Rhyme)  In&Out Side Bar.mq5","871.3","MACD","y","trend","y"
"steacountmacd","2","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\(ST) EA03 Count MACD v1.mq5","308.3","MACD","y","trend","y"
"eacountmacd","2","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\EA_For_AIGen_Video\08 - Count MACD\8\EA03\EA03 Count MACD.mq5","243.6","MACD","y","trend","n"
"bossmtftrendfollowing","2","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 0\(Boss) 1-MTF Trend Following.mq5","19.1","iMA;MACD;ADX;ATR;trailing","n","trend","n"
"tempoemamacddashboardv","1","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-11\EMA 26,50 MACD\EMA 26,50 MACD\TEMPO_EMA_MACD_Dashboard V.4.mq5","30.8","iMA;MACD;ADX","n","trend","n"
"expertmacd","1","D:\Forex\20_Selected EA\Advisors\ExpertMACD.mq5","5.9","MACD","n","trend","n"
"expertmapsar","1","D:\Forex\20_Selected EA\Advisors\ExpertMAPSAR.mq5","6.2","SAR","n","trend","n"
"expertmapsarsizeoptimized","1","D:\Forex\20_Selected EA\Advisors\ExpertMAPSARSizeOptimized.mq5","6.6","SAR","n","trend","n"
"bossmtfnewsstraddle","1","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 0\(Boss) 9- MTF News Straddle.mq5","16.4","iMA;ATR;news","n","trend","n"
"testfuzzy","1","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL5\Scripts\UnitTests\Fuzzy\TestFuzzy.mq5","26.4","iMA","n","trend","n"
"bosssupertrendtrendcatcher","1","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 2\Boss - 10 Supertrend Trend Catcher.mq5","14.9","iMA;ADX;ATR","n","trend","n"
"bossmacdv","1","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\(Boss) RSI OBOS\(Boss)MACDV.mq5","475.9","MACD","n","trend","n"
"aillmtradingscalperea","5","D:\Forex\10_EA_PROJECTS\.Final EA\Day3 AI Trading Agent\update fxdreema LLM\AI 1 LLM Trading Scalper (ea1) (1).mq5","426.1","scalp","n","scalper","y"
"mgsfastclose","4","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-08\[189] - MGS[FastClose].mq5","275.5","scalp","y","scalper","n"
"hftscalper","3","D:\Forex\10_EA_PROJECTS\2. wait for test\wait for test\0 - MQ5\HFT Scalper\HFT Scalper.mq5","478.5","scalp","n","scalper","n"
"flukesch","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\fluke SC H4 v2.1.mq5","330.4","scalp","y","scalper","y"
"scalpingtrading","2","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Scalping Trading v2.3.mq5","909.7","scalp","y","scalper","y"
"scalpingemamultitfbykorn","2","D:\Forex\10_EA_PROJECTS\1. review EA\1. wait develop\143 Scalping Ema Multi TF by Korn.mq5","417.8","scalp","y","scalper","n"
"bossmtfhighfrequencyscalping","1","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 0\(Boss) 7- MTF High-Frequency Scalping.mq5","14.9","iMA;scalp","n","scalper","n"
"bosssessionoverlaptrading","1","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 2\Boss 11 - Session Overlap Trading.mq5","12","iMA;RSI;ATR;scalp","n","scalper","n"
"bossmtfmomentumscalpingpartialclose","1","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 0\(Boss) 8- MTF Momentum Scalping + Partial Close.mq5","15.9","iMA;RSI;scalp","n","scalper","n"
"bosshfscalping","1","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 2\Boss 7 - HF Scalping.mq5","12.1","iMA;ATR;scalp","n","scalper","n"
"bossmomentumscalpingpartialclose","1","D:\Forex\10_EA_PROJECTS\Claude EA\EA MQL5 AI gen\rev 2\Boss - 8 Momentum Scalping + Partial Close.mq5","14.5","iMA;RSI;ATR;scalp","n","scalper","n"
"rsiscalpinggoldlowspreadver","1","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\(Boss) RSI Scalping  Gold Low Spread\RSI Scalping  Gold Low Spread Ver 1.5.mq5","372.2","RSI;scalp","y","scalper","n"
"eptoolsgold","16","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\Template\Tools\EP.22 Tools (Gold).mq5","1638.4","","n","other","n"
"adaptexpro","9","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\AdaptEX Pro (23.7).mq5","1069.4","ATR","y","other","y"
"pete","9","D:\Forex\01_INBOX_NEW\2.1 review EA\wait_Fxdreema MT5\Pete005-16.mq5","976.3","","n","other","y"
"cshtgold","6","D:\Forex\01_INBOX_NEW\2.4 Other EA\wait_Fxdreema MT5\CSHT Gold v6.394.mq5","758.9","ATR","y","other","y"
"jobotfiboharmonicpattern","6","D:\Forex\50_KNOWLEDGE\02_Courses\1. Course_EA\! JOBOT Week\EA Week8\(Jobot)  Fibo Harmonic Pattern.mq5","775.6","","n","other","y"
"tanakornfiboqmadvance","6","D:\Forex\01_INBOX_NEW\2.4 Other EA\0. Not work\(Tanakorn) Fibo QM Advance    V16.mq5","465.3","","y","other","n"
"volumezoneoscillator","6","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\AI workshop4\ea\008 - VZO\Volume zone oscillator.mq5","5.6","","n","other","y"
"flukerb","6","D:\Forex\01_INBOX_NEW\2.4 Other EA\wait_Fxdreema MT5\fluke RB v1.1.mq5","568.9","","n","other","y"
"fdwave","6","D:\Forex\01_INBOX_NEW\2.4 Other EA\wait_Fxdreema MT5\FD#3 Wave.mq5","1253.8","","n","other","y"
"11198621.mq5","6","D:\Forex\10_EA_PROJECTS\(Boss) EA write + USE\(Boss) grow up\11198621.mq5","331.7","","y","other","y"
"aillmtradingtrendfollowea","5","D:\Forex\50_KNOWLEDGE\02_Courses\3. Course AI WOBR\Day3 AI Trading Agent\AI 7 LLM Trading Trend Follow (ea1).mq5","529.8","","n","other","y"
"aillmtradingboea","5","D:\Forex\50_KNOWLEDGE\02_Courses\3. Course AI WOBR\Day3 AI Trading Agent\AI 9 LLM - Trading BO (ea1).mq5","417.4","","n","other","y"
"aillmtradingswingtradeea","5","D:\Forex\50_KNOWLEDGE\02_Courses\3. Course AI WOBR\Day3 AI Trading Agent\AI 8 LLM Trading Swing Trade (ea1).mq5","446","","n","other","y"
"aillmtradingpendingea","5","D:\Forex\50_KNOWLEDGE\02_Courses\3. Course AI WOBR\Day3 AI Trading Agent\AI 2 LLM Trading  Pending (ea1).mq5","398.7","","n","other","y"
"aillmtradingcombinesignalea","5","D:\Forex\10_EA_PROJECTS\.Final EA\Day3 AI Trading Agent\update fxdreema LLM\AI 10 LLM Trading Combine Signal (ea1) (1).mq5","504","","n","other","y"
"aillmtradingnewsfilterea","5","D:\Forex\10_EA_PROJECTS\.Final EA\Day3 AI Trading Agent\update fxdreema LLM\AI 3 LLM Trading News Filter (ea1) (1).mq5","481.6","news","n","other","y"
