"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","has_mart_block","rough_family","already_known"
"atr_multiplier","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ATR & Multiplier 2.mq4","2","","n","n","other","n"
"atr_multiplier","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ATR & Multiplier.mq4","1.5","","n","n","other","n"
"autofx_hanoo_v","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\autoFX_HaNoo_v10.mq4","12.7","iCustom|iMA|iAO","y","n","trend","n"
"autorefresh_s_n","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\AutoReFresh S&N.mq4","2.8","","n","n","other","n"
"blank","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\Blank .mq4","1.6","","n","n","other","n"
"boss_golden","6","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\Boss - Golden.mq4","391.9","iRSI","n","y","reversion","n"
"braintrend2sig_convert_help","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\BrainTrend2Sig-convert Help.mq4","0","","n","n","other","n"
"close_all","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close All.mq4","7.4","","n","n","other","n"
"close_all_only_this_symbol","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close.All--only.this.symbol.mq4","1.6","","n","n","other","n"
"close_basket_profit_loss","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Close_Basket_Profit_Loss.mq4","2.9","","n","n","other","n"
"close_losses","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Losses.mq4","7.8","","n","n","other","n"
"close_open","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Open.mq4","7.8","","n","n","other","n"
"close_pendings","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Pendings.mq4","7.5","","n","n","other","n"
"close_profits","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Profits.mq4","7.8","","n","n","other","n"
"deleteallpending","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\DeleteAllPending.mq4","3.6","","n","n","other","n"
"ema","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\EMA_6_12.mq4","7.9","iMA","n","n","trend","n"
"ex79_advance_trading_robot_no_19_increase_trading_efficiency","6","D:\Forex\01_INBOX_NEW\2.1 review EA\0. Not work\EX79 - Advance Trading Robot No.19 [Increase Trading Efficiency] .mq4","354.1","iMA","n","y","breakout","n"
"firebird_v0_58_ea","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Firebird v0.58 [ea]1.mq4","8.9","iMA","n","n","trend","n"
"firebird_v0_60_ea","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Firebird v0.60 [ea]1.mq4","9.6","iMA","n","n","trend","n"
"genie_rsi","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Genie RSI\Genie RSI\genie_rsi(1).mq4","6.1","iRSI","n","n","oscillator","n"
"jk_sinkhro_23sep","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\JK_sinkhro(23SEP05).mq4","4.2","","n","n","other","n"
"jobot_button_system","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week2\((JOBOT)) BUTTON SYSTEM.mq4","588.9","","n","n","other","n"
"jobot_calculate_lot_from_drawdown","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week3\(Jobot) Calculate Lot from Drawdown.mq4","204.3","","n","y","other","n"
"jobot_calculate_lot_from_macd","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week3\(Jobot) Calculate Lot from MACD.mq4","201.9","iMACD","n","y","trend","n"
"jobot_calculate_lot_from_rsi","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week3\(Jobot) Calculate Lot from RSI.mq4","205.1","iRSI","n","y","reversion","n"
"jobot_calculate_lot_from_sd","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week3\(Jobot) Calculate Lot from SD.mq4","198.1","","n","y","other","n"
"jobot_close_all_script","6","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL4\Scripts\(Jobot) Close All Script.mq4","54.6","","n","n","other","n"
"jobot_closing_system","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week2\((JOBOT)) CLOSING SYSTEM .mq4","166.3","","n","n","other","n"
"jobot_dow_theory_trailing","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Dow Theory Trailing  (3).mq4","221.7","iCustom","y","y","breakout","n"
"jobot_dow_theory_trailing_anti","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week4\(Jobot) Dow Theory Trailing anti (1).mq4","450.4","","n","n","other","n"
"jobot_freez_percent_of_freemargin_lot_ea","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week3\(Jobot) Freez Percent of FreeMargin Lot EA.mq4","173.7","","n","y","other","n"
"jobot_macd_divergence_martingale","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week2\(Jobot) MACD Divergence Martingale.mq4","497.1","","n","n","other","n"
"jobot_macd_divergence_trailing_money","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week2\(Jobot) MACD Divergence Trailing Money .mq4","410.1","","n","n","other","n"
"jobot_martingale_basic","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week3\(Jobot) Martingale Basic.mq4","218.3","","n","y","breakout","n"
"jobot_news_pending","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week2\(Jobot) NEWs Pending .mq4","159.2","","n","y","breakout","n"
"jobot_normal_grid_ea","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week5\(Jobot) Normal Grid EA.mq4","194.7","","n","y","other","n"
"jobot_optimization_ema_cross","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week1\(Jobot) Optimization EMA Cross .mq4","328.5","","n","n","other","n"
"jobot_price_action_trend_line_fibo_order_v","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week8\(Jobot) Price Action - Trend Line -Fibo -Order v.2.mq4","756.4","","n","n","other","n"
"jobot_self_trend_line_break","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week8\(Jobot) Self Trend Line Break .mq4","226","","n","y","breakout","n"
"jobot_trailing_systems","6","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week2\((JOBOT)) TRAILING SYSTEMS.mq4","315.2","iCustom|iMA|iSAR|iATR","y","y","breakout","n"
"logo_lower_right_corner","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\LOGO Lower Right Corner.mq4","173.1","","n","n","other","n"
"longterm_a","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Longterm_a.mq4","8.1","iMA","n","n","trend","n"
"macd_sample","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Experts\MACD Sample.mq4","6.1","iMA|iMACD","n","n","trend","n"
"moving_average","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Experts\Moving Average.mq4","5","iMA","n","n","trend","n"
"multi_lot_scalper_p_day_mt","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Multi_Lot_Scalper_P_DAY_MT4.mq4","12.4","","n","n","other","n"
"multi_lot_scapler_p_day_jly","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Multi_Lot_Scapler_P_DAY_JLY.mq4","12.2","","n","n","other","n"
"output_history_script","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Output History (script).mq4","4.5","","n","n","other","n"
"pbf_squeeze","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\PBF_Squeeze.mq4","8.2","iCustom","y","n","other","n"
"right_corner","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Right Corner.mq4","173.3","","n","n","other","n"
"ronz_auto_sl_ts_tp","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\RoNz Auto SL-TS-TP.mq4","13.6","iMA","n","n","trend","n"
"shic","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\SHIC.mq4","7.5","","n","n","other","n"
"smc_trader_manual","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\SMC Trader Manual.mq4","7.3","","n","n","other","n"
"spudfibo","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Experts\spudfibo.mq4","7.6","","n","n","other","n"
"stats_time","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Experts\Stats_Time.mq4","19.3","","n","n","other","n"
"supply_and_demand","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\0 - MQ5\wealth king nasdaqsoftware\supply-and-demand.mq4","24.1","iATR","n","n","other","n"
"sweatspot","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\SweatSpot_3.mq4","5.1","iMA|iCCI","n","n","oscillator","n"
"test","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Test2.mq4","5.9","iMA","n","n","trend","n"
"tradereport","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\TradeReport (2).mq4","49.6","","n","n","other","n"
"trendscalper_tr_beta_26jul","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TrendScalper_TR_beta(26JUL05).mq4","8","iCustom|iBands|iATR","y","n","other","n"
"truescalper_ron_mt4_v","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TrueScalper_Ron_MT4_v11.mq4","5.2","iMA|iRSI","n","n","reversion","n"
"truescalper_v49h_ron_mt","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TrueScalper_v49h_Ron_MT4.mq4","12","iMA|iRSI","n","n","oscillator","n"
"truescalpperv","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TrueScalpperV11.mq4","7.1","iMA|iRSI","n","n","reversion","n"
"truescalpperv11_23sep","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TrueScalpperV11(23SEP05).mq4","6.1","iMA|iRSI","n","n","reversion","n"
"tsd_mt4_mr_trade","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TSD MT4 MR Trade 0 36.mq4","17.3","iMACD|iATR|iWPR|iForce","n","n","trend","n"
"tsd_mt4_mr_trade_0_20_23jul","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TSD_MT4_MR_Trade_0_20(23JUL05).mq4","13","iMACD|iWPR|iForce","n","n","trend","n"
