"token","name","realm","price","sym","tf","days","trades","pf","dd","ai"
"XVX5452","11-18-2 Alligator+AO Multi Lot Indy DualStar mq5","Others","19599","EURUSD","60","263","216","1.85","0.26193","67.0289810778951"
"RRV7447","11-21-8 Alligator+AO Log Pyramid ATR Guard mq5","Others","19599","EURUSD","60","263","262","2.97","0.14752","66.7900528694383"
"RWM1086","1-18-33 BB RSI Multi Lot Indy PercentTrail mq5","Others","19599","GBPUSD","60","242","424","2.27","0.21259","66.5740450379551"
"OYN1604","4.1.16-Ichimoku ADX Split Grid","Others","19599","EURUSD","60","263","279","2.51","0.21657","65.979010567513"
"RVF6199","4.2.1-ICHIMOKU+ADX Plus ATR Engulfing Pro","Others","19599","EURUSD","60","263","333","1.86","0.29469","65.3592305353888"
"MFJ4366","1-13-8 BB RSI X Pyramid ATR Guard mq5","Others","19599","GBPUSD","60","242","886","2.09","0.3063","65.3218134865826"
"PQX2245","11-21-3 Alligator+AO Log Pyramid Doji Master mq5","Others","19599","EURUSD","60","263","276","2.7","0.15466","64.9333217058928"
"MRM2311","1-13-7 BB RSI X Pyramid MACD Master mq5","Others","19599","GBPUSD","60","242","1335","1.94","0.23168","64.6434773646606"
"PSK9843","11-13-18 Alligator+AO X Pyramid LossControl mq5","Others","19599","EURUSD","60","263","275","1.44","0.08299","64.5718787950794"
"LMX7182","11-22-18 Alligator+AO Plus Pyramid LossControl mq5","Others","19599","EURUSD","60","263","332","1.92","0.12249","64.3777409790536"
"JIV3937","11-2-19 Alligator+AO Plus ATR DualGuard mq5","Others","19599","EURUSD","60","263","281","1.55","0.12186","64.0637172922406"
"KES0543","1-16-2 BB RSI Fractional DualStar mq5","Others","19599","EURUSD","60","263","115","1.44","0.21713","63.672659814456"
"BBZ4766","1-13-19 BB RSI X Pyramid DualGuard mq5","Others","19599","EURGBP","60","242","432","1.86","0.18382","63.6702949229845"
"ELD1519","1-14-9 BB RSI X After Profit BE Combine mq5 ","Others","19599","EURGBP","60","242","1034","1.82","0.1641","63.588020276233"
"MXA2176","1-22-13 BB RSI Plus Pyramid Time Master mq5","Others","19599","XAUUSD","15","24","197","1.32","0.32607","63.4416601599195"
"JVV2954","11-21-6 Alligator+AO Log Pyramid Inverse Trigger mq5","Others","19599","EURUSD","60","263","295","2.74","0.15366","63.1239348384941"
"YKU9114","1-1-18 BB RSI x ATR LossControl mq5","Others","19599","EURUSD","60","265","313","1.66","0.14333","63.0062367590633"
"CBY6815","11-3-19 Alligator+AO Log ATR DualGuard mq5","Others","19599","EURUSD","60","263","318","1.52","0.1583","62.7291958356961"
"ADH1227","1-1-2 BB RSI x ATR DualStar mq5","Others","19599","EURUSD","60","263","562","1.27","0.30432","62.6826041415717"
