"block_id","canonical_id","block_type","sha256","archive_blob_sha","source_anchor"
"070|REVIEW-NOTE|current-archive#66","070","REVIEW-NOTE","fa0924f9fb9f1e257c623ac2e1b930b083ae2eb587e4638588d2c93c8aa4befb","c52898984b57ff1a229d6df5fde85b5330545d23","66"
"071|ORDER|current-archive#67","071","ORDER","4892e9e80de828ae1e7ba4afee0efa2246405d8f8617a79585483e830ea6c9cc","c52898984b57ff1a229d6df5fde85b5330545d23","67"
"071|REVIEW-NOTE|current-archive#68","071","REVIEW-NOTE","551f9504f064af55361d81351d513bb48bda7cffc73dc152e73049d39470a743","c52898984b57ff1a229d6df5fde85b5330545d23","68"
"074|ORDER|current-archive#69","074","ORDER","173d8d328974bf283c4e6e46b013dbe141dfdc720ba75bdce0eb6f30b1e7ddac","c52898984b57ff1a229d6df5fde85b5330545d23","69"
"072|REVIEW-NOTE|current-archive#70","072","REVIEW-NOTE","8f2c714ee308c545fa3d6d861b5cc9120d727c7f3f94bf577abb5b3da09499dc","c52898984b57ff1a229d6df5fde85b5330545d23","70"
"075|ORDER|current-archive#71","075","ORDER","13b019a1a43db9e3dcadc2933d1d7346fe1f6dc97ae52ba485dea50f39a5fddb","c52898984b57ff1a229d6df5fde85b5330545d23","71"
"074|REVIEW-NOTE|current-archive#72","074","REVIEW-NOTE","fe50578630eeab891352f96ea029c9e0a28ebf296e89ec21a75605917711c3e6","c52898984b57ff1a229d6df5fde85b5330545d23","72"
"075|REVIEW-NOTE|current-archive#73","075","REVIEW-NOTE","324382c6cb46c38cf213e5a7d34ef934416047db93665b17dba69e792e2392a3","c52898984b57ff1a229d6df5fde85b5330545d23","73"
"077|ORDER|current-archive#74","077","ORDER","80a573b0d780eac6773526153eba73b4b987bc9437b65877de00e81a56f10b99","c52898984b57ff1a229d6df5fde85b5330545d23","74"
"077|REVIEW-NOTE|current-archive#75","077","REVIEW-NOTE","1e832c19f8803bbf6b193088cc9aea4ae3fd26dc0c1d7bc6fa11add1a31bb130","c52898984b57ff1a229d6df5fde85b5330545d23","75"
"078|ORDER|current-archive#76","078","ORDER","1f7fee67a7cf2b7e15c10d22d3a471430f28da443cde3084ab61434e220e048e","c52898984b57ff1a229d6df5fde85b5330545d23","76"
"078|REVIEW-NOTE|current-archive#77","078","REVIEW-NOTE","66018c24260b54289d563c918f3f1838c4c32c886743294039e4d471f6fdf602","c52898984b57ff1a229d6df5fde85b5330545d23","77"
"081|ORDER|current-archive#78","081","ORDER","9e72fecdba4b5cd7fba6111d83bf0689f6c77f78c6389821d1505117fde268cc","c52898984b57ff1a229d6df5fde85b5330545d23","78"
"075|ANNOTATION|current-archive#79","075","ANNOTATION","c7534c75598558bc3bbe42fb64212870a6fe4fc3f6ca9a850e55c5006824ce89","c52898984b57ff1a229d6df5fde85b5330545d23","79"
"083|ORDER|current-archive#80","083","ORDER","971e83ef3c7d3f4254fb6f1585181beb80ca011956bce9bbe7c36dece3bd7153","c52898984b57ff1a229d6df5fde85b5330545d23","80"
"083|REVIEW-NOTE|current-archive#81","083","REVIEW-NOTE","ff4e995cc5472d68a20426d4d9fc01980fce6fb76e3881cf655534f3aa562dce","c52898984b57ff1a229d6df5fde85b5330545d23","81"
"084|REVIEW-NOTE|current-archive#82","084","REVIEW-NOTE","4dfbaa5ebb7fe62faed68899f8eaa6d19d8a212903d82f9b1366997c0fcdbb9a","c52898984b57ff1a229d6df5fde85b5330545d23","82"
"085|ORDER|current-archive#83","085","ORDER","47875249da373c5bdbde420ad5a61846a1f710259526513eab7926cae8e69167","c52898984b57ff1a229d6df5fde85b5330545d23","83"
