variant,context,window,year,full_window_eligible,cycles,trades,pf,net,active_share,realized_balance_dd
DEPTH4,XAU_H4,MAIN,2024,True,13,23,5.2335,196.9,0.015372,0.0
DEPTH4,XAU_H4,MAIN,2025,True,11,18,5.3824,214.21,0.00392,0.0
DEPTH4,XAU_M15,BWD,2020,True,112,292,1.2821,554.84,0.157409,690.62
DEPTH4,XAU_M15,BWD,2021,True,149,403,0.9785,-55.15,0.174674,675.08
DEPTH4,XAU_M15,BWD,2022,True,119,313,0.716,-824.4,0.204518,1500.52
DEPTH4,XAU_M15,MAIN,2023,True,106,292,1.0744,142.92,0.202348,526.76
DEPTH4,XAU_M15,MAIN,2024,True,150,398,1.222,520.33,0.165279,537.93
DEPTH4,XAU_M15,MAIN,2025,True,212,463,1.4291,1306.73,0.076094,560.26
DEPTH5,EUR_H4,BWD,2020,True,14,15,,53.41,0.03478,0.0
DEPTH5,EUR_H4,BWD,2021,True,17,17,,16.83,0.008681,0.0
DEPTH5,EUR_H4,BWD,2022,True,1,16,0.1208,-656.26,0.466841,656.26
DEPTH5,EUR_H4,MAIN,2023,True,23,23,,23.77,0.015922,0.0
DEPTH5,EUR_H4,MAIN,2024,True,25,25,91.92,22.73,0.033838,0.2
DEPTH5,EUR_H4,MAIN,2025,True,12,16,4.4485,80.04,0.11485,0.0
DEPTH5,GBP_H4,BWD,2020,True,17,24,1.0714,12.04,0.062868,65.02
DEPTH5,GBP_H4,BWD,2021,True,1,1,,1.24,0.002237,0.0
DEPTH5,GBP_H4,BWD,2022,True,4,31,0.3019,-731.32,0.400395,762.88
DEPTH5,GBP_H4,MAIN,2023,True,16,17,,53.31,0.023921,0.0
DEPTH5,GBP_H4,MAIN,2024,True,21,21,,28.19,0.006622,0.0
DEPTH5,GBP_H4,MAIN,2025,True,17,22,1.4351,34.48,0.101199,20.55
DEPTH5,USDJPY_H1,BWD,2020,True,90,98,0.7357,-44.89,0.147307,85.54
DEPTH5,USDJPY_H1,BWD,2021,True,75,76,7.0106,56.5,0.064016,9.4
DEPTH5,USDJPY_H1,BWD,2022,True,78,93,1.1449,32.49,0.107397,149.92
DEPTH5,USDJPY_H1,MAIN,2023,True,96,104,2.5154,137.39,0.054499,58.09
DEPTH5,USDJPY_H1,MAIN,2024,True,75,89,1.2918,63.87,0.083673,139.09
DEPTH5,USDJPY_H1,MAIN,2025,True,68,81,1.3959,62.28,0.150665,65.85
DEPTH5,XAU_H4,BWD,2020,True,20,32,2.5715,218.31,0.022575,49.13
DEPTH5,XAU_H4,BWD,2021,True,22,60,0.9016,-78.49,0.065357,549.96
DEPTH5,XAU_H4,BWD,2022,True,28,45,8.4213,368.32,0.037679,0.0
DEPTH5,XAU_H4,MAIN,2023,True,18,32,10.415,271.81,0.032842,0.0
DEPTH5,XAU_H4,MAIN,2024,True,13,24,4.6761,216.19,0.014968,0.0
DEPTH5,XAU_H4,MAIN,2025,True,11,18,5.3824,214.21,0.00392,0.0
DEPTH5,XAU_M15,BWD,2020,True,114,332,1.1928,483.74,0.153955,719.73
DEPTH5,XAU_M15,BWD,2021,True,119,374,0.9474,-145.0,0.20712,708.91
DEPTH5,XAU_M15,BWD,2022,True,117,354,0.8132,-593.26,0.211203,1529.12
DEPTH5,XAU_M15,MAIN,2023,True,98,318,0.8635,-360.77,0.20789,703.37
DEPTH5,XAU_M15,MAIN,2024,True,148,416,1.1177,338.67,0.164597,734.05
DEPTH5,XAU_M15,MAIN,2025,True,214,496,1.3024,1114.79,0.071828,733.68
OVERLAP_OFF,EUR_H4,BWD,2020,True,14,15,,53.41,0.03478,0.0
OVERLAP_OFF,EUR_H4,BWD,2021,True,17,17,,16.83,0.008681,0.0
OVERLAP_OFF,EUR_H4,BWD,2022,True,1,16,0.0973,-705.64,0.466841,705.64
OVERLAP_OFF,EUR_H4,MAIN,2023,True,23,23,,23.77,0.015922,0.0
OVERLAP_OFF,EUR_H4,MAIN,2024,True,25,25,91.92,22.73,0.033838,0.2
OVERLAP_OFF,EUR_H4,MAIN,2025,True,12,16,13.3015,106.9,0.114834,0.0
