variant,context,symbol,tf,window,pf,net,trades,native_eqdd_pct,report_sha256,set_sha256,build_receipt,ex5_sha256,source,sidecar_truncated,cage_kill_confirmed,full_window_eligible,parse_error
DEPTH2,XAU_M15,XAUUSD,M15,BWD,0.79,-884.24,464,13.3,c5c37b1f967c4bda5de207dc4a701f35588850844ea8ebf19624bb37bcd16a9c,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH2,XAU_M15,XAUUSD,M15,MAIN,1.41,1640.02,602,5.43,867d2e94227304810cc423f6d7cfe04472d48589a4a75fa3b07088a87e1fcf94,385fb586b44199a7bc936cc3e952d1f5265ccb467f4ab041e8ee8f7cf2f2acb9,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH4,EUR_H4,EURUSD,H4,BWD,0.28,-448.7,54,6.74,5741694fe128eaf3eb0d828008e7c9313de57a1039ff941bfdf3f1a468fa5341,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH4,EUR_H4,EURUSD,H4,MAIN,6.39,126.54,64,1.42,ee8f4ab3a5c1159041162d99906fb389eecae720ba2f85350440d190c55209b4,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH4,GBP_H4,GBPUSD,H4,BWD,0.3,-873.63,50,11.97,005018ad1d21e0e115a204b3545810a291eb943bdfbb54b48f6aacf21f5160a7,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH4,GBP_H4,GBPUSD,H4,MAIN,2.46,115.98,60,1.93,d4e2230ca52380094111ba9adcb6fa08b2fcd4b2ce458724a609f0cdfcd1cd21,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,EURGBP_EXTENSION,False,False,True,
DEPTH4,USDJPY_H1,USDJPY,H1,BWD,0.99,-2.84,265,2.28,9c025c40abb8e6881710ce9b0d64b77005332ddaa12a8f911ef0366c7054d2fb,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH4,USDJPY_H1,USDJPY,H1,MAIN,1.49,225.34,268,3.28,d946d1fc5636b518a94e83816ca5b50d48e2886396cf0ce1926f1b1081360254,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH4,XAU_H4,XAUUSD,H4,BWD,1.46,430.67,133,7.03,731e33ab74ce30ce3dce18799d24fa0c622b8bda6535e1a2cc2228aa790762c2,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
DEPTH4,XAU_H4,XAUUSD,H4,MAIN,7.32,667.05,71,3.55,e32ee0776822b232d29518488551e87c5e2618662b45f0cc476c399afc924f73,4bace434784d79d165244c4eaac237c1279734c007fa5bcd6c80b99c924d4bfe,br-4fa94d22907b446ebc721d524bdfa5d1,212de9f292f2b90c24a71875352d81f39878148c57563b7d23b7a76216eb37db,MAIN_MATRIX,False,False,True,
