Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSwingPeriod,InpRiskReward,InpLotMultiplier,InpMinGapPts,InpTakeProfitUSD,InpDailyTargetUSD,InpSLBufferPts,InpMaxRecoverySteps,reject_reasons,score
1315,11302.11,17.968378,1.331820,6.492742,3.353023,11.2101,629,7,2.0,1.2,100,120,220,30,5,MAX_RECOVERY_STEPS_GT_3,128.7197
1950,13166.64,20.287581,1.352786,6.087916,3.735426,11.0837,649,7,2.0,1.2,150,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,128.5748
1496,11409.33,16.902711,1.317559,6.263253,3.373430,9.3390,675,7,2.0,1.2,100,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,127.9384
296,4718.03,8.720943,1.239340,4.140402,2.355670,9.3444,541,7,1.5,1.2,500,40,180,30,3,,127.9139
1256,13293.24,20.482650,1.354845,5.967436,3.818836,11.1751,649,7,2.0,1.0,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,127.6274
1925,11299.49,17.878940,1.323397,6.375824,3.402109,11.4243,632,7,2.0,1.0,100,120,220,45,5,MAX_RECOVERY_STEPS_GT_3,126.9465
2088,11426.03,16.952567,1.315911,6.200263,3.375514,9.4306,674,7,2.0,1.2,100,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,126.8408
2243,11403.23,16.893674,1.316761,6.186883,3.374665,9.4424,675,7,2.0,1.2,100,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,126.6501
2314,11274.08,17.810553,1.324482,6.355031,3.400503,11.4458,633,7,2.0,1.0,100,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,126.6323
1712,10075.27,15.841619,1.296836,6.305990,3.276559,8.5922,636,7,2.0,1.2,400,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,126.5574
949,10054.47,15.784097,1.297781,6.290610,3.276741,8.6041,637,7,2.0,1.2,400,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,126.3512
2189,14527.65,21.146507,1.373012,5.616179,4.028342,11.4322,687,7,2.0,1.2,150,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,125.9410
1228,11837.23,16.395055,1.313555,6.090332,3.678116,11.8570,722,6,2.0,1.2,100,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,125.8008
2232,14498.54,21.073459,1.373825,5.604925,4.027217,11.4462,688,7,2.0,1.2,150,120,300,30,7,MAX_RECOVERY_STEPS_GT_3,125.7723
373,11901.22,16.529472,1.313309,6.093534,3.661515,11.8586,720,6,2.0,1.2,100,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,125.7043
1365,10003.23,15.703658,1.296655,6.256203,3.256378,8.6346,637,7,2.0,1.2,400,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,125.5298
1838,11878.42,16.474924,1.314107,6.077193,3.661349,11.8798,721,6,2.0,1.2,100,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,125.4486
2390,14470.26,21.062969,1.369312,5.593992,4.004020,11.4613,687,7,2.0,1.2,200,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,125.1719
2114,14439.82,20.988110,1.372517,5.582225,4.008949,11.4753,688,7,2.0,1.2,150,120,300,15,7,MAX_RECOVERY_STEPS_GT_3,125.1391
206,7660.36,12.661752,1.297623,3.534077,2.734847,11.5249,605,5,1.5,1.0,200,120,140,30,3,,124.4196
937,7281.39,11.412837,1.326759,6.077295,3.360289,7.9584,638,7,1.5,1.2,500,40,180,45,7,MAX_RECOVERY_STEPS_GT_3,124.4038
2395,15817.42,22.957068,1.401633,5.182590,4.297886,11.7990,689,7,2.0,1.2,200,160,300,15,7,MAX_RECOVERY_STEPS_GT_3,123.3676
2295,15819.10,22.992878,1.400321,5.184160,4.277232,11.7964,688,7,2.0,1.2,200,160,300,45,7,MAX_RECOVERY_STEPS_GT_3,123.1284
1651,11993.90,17.332225,1.314684,5.882304,3.453704,9.7796,692,6,2.0,1.6,300,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,122.9327
1691,10650.27,16.851693,1.324961,5.846560,3.530715,9.3438,632,7,2.0,1.0,450,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,122.5203
1388,10348.61,17.363440,1.309087,6.330277,3.196593,11.9857,596,7,2.0,2.0,400,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,122.0439
1952,10832.85,17.167750,1.324791,5.799450,3.556053,9.4449,631,7,2.0,1.2,450,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,122.0168
2338,11586.96,16.841512,1.309198,5.883259,3.380536,9.5999,688,6,2.0,1.4,200,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,121.9783
2248,11576.50,16.801887,1.310319,5.877052,3.383514,9.6056,689,6,2.0,1.4,200,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,121.9565
1405,10694.76,16.948906,1.323922,5.803444,3.541662,9.4180,631,7,2.0,1.0,450,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,121.8656
1803,10680.84,16.900063,1.325573,5.794947,3.545011,9.4254,632,7,2.0,1.0,450,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,121.8279
2237,12299.80,18.523795,1.327319,5.664065,3.697209,10.2023,664,6,2.0,2.0,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,121.7821
2041,12299.80,18.523795,1.327319,5.664065,3.697209,10.2023,664,6,2.0,1.6,100,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,121.7821
1692,8171.15,12.418161,1.294298,6.155756,2.883739,6.8976,658,7,1.5,1.4,400,120,180,30,7,MAX_RECOVERY_STEPS_GT_3,121.6826
1602,7171.60,11.365452,1.323193,5.935576,3.324880,8.0869,631,7,1.5,1.2,500,40,180,30,5,MAX_RECOVERY_STEPS_GT_3,121.4900
2304,11751.53,17.006556,1.312652,5.783632,3.455620,9.7824,691,6,2.0,1.4,200,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,121.2618
1966,12057.85,18.522043,1.323014,5.692821,3.626629,10.0868,651,6,2.0,1.4,200,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,121.1889
2102,12048.29,18.478972,1.324227,5.685891,3.630830,10.0950,652,6,2.0,1.4,200,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,121.1690
2050,12239.12,17.434644,1.319940,5.717719,3.510899,10.0565,702,6,2.0,1.8,150,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,121.1244
1814,9274.80,13.364265,1.302036,6.028195,3.099430,8.8083,694,7,1.5,1.4,150,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,120.9702
1470,9235.06,13.423052,1.302639,6.004083,3.124686,8.8123,688,7,1.5,1.4,150,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,120.7718
2165,13931.82,20.338423,1.360555,5.385839,3.929068,11.6586,685,7,2.0,1.2,150,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,120.4590
2302,12008.93,17.353945,1.314271,5.727183,3.464789,9.9900,692,6,2.0,1.4,200,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,120.4573
2079,13945.70,20.388450,1.359322,5.391205,3.923658,11.6521,684,7,2.0,1.2,150,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,120.4427
2154,12159.74,18.340483,1.324302,5.595135,3.685569,10.2758,663,6,2.0,1.4,150,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,120.3536
1676,12159.74,18.340483,1.324302,5.595135,3.685569,10.2758,663,6,2.0,1.8,150,120,260,45,5,MAX_RECOVERY_STEPS_GT_3,120.3536
2177,11923.63,16.912950,1.324938,5.711180,3.392170,9.9443,705,6,2.0,1.6,100,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,119.9909
1531,13874.77,20.255139,1.359288,5.363785,3.909820,11.6878,685,7,2.0,1.2,150,120,260,15,7,MAX_RECOVERY_STEPS_GT_3,119.8278
2119,12134.43,17.871031,1.324533,5.720658,3.364574,10.1706,679,6,2.0,1.8,400,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,119.3768
2289,11975.86,17.011165,1.324184,5.643879,3.404481,10.0654,704,6,2.0,1.8,100,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,118.9589
1548,10343.73,15.888986,1.313998,5.946552,3.080173,9.6479,651,7,2.0,2.0,400,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,118.8843
1376,6722.30,9.284945,1.357110,5.800937,2.934809,7.8950,724,5,1.0,1.8,250,200,100,45,5,MAX_RECOVERY_STEPS_GT_3,117.7481
1903,11664.20,18.056037,1.329703,5.278253,3.872535,10.2156,646,6,2.0,1.2,450,120,220,15,5,MAX_RECOVERY_STEPS_GT_3,117.2407
1922,10478.65,16.022401,1.297746,5.608925,3.357365,9.3331,654,6,2.0,1.6,300,120,260,30,5,MAX_RECOVERY_STEPS_GT_3,116.5111
1973,12598.44,18.609217,1.326574,5.397697,3.585459,10.7722,677,6,2.0,1.8,400,120,260,30,7,MAX_RECOVERY_STEPS_GT_3,116.2941
1776,12748.02,18.830162,1.326992,5.385683,3.609550,10.9003,677,6,2.0,2.0,450,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,116.2905
1733,12748.02,18.830162,1.326992,5.385683,3.609550,10.9003,677,6,2.0,1.6,450,120,300,45,7,MAX_RECOVERY_STEPS_GT_3,116.2905
1873,12593.85,18.629956,1.324964,5.397812,3.576268,10.7711,676,6,2.0,1.6,400,120,260,45,7,MAX_RECOVERY_STEPS_GT_3,116.1323
2112,12699.12,18.730265,1.327015,5.362985,3.605841,10.9283,678,6,2.0,1.6,450,120,300,30,7,MAX_RECOVERY_STEPS_GT_3,115.8700
2078,12699.12,18.730265,1.327015,5.362985,3.605841,10.9283,678,6,2.0,2.0,450,120,300,30,7,MAX_RECOVERY_STEPS_GT_3,115.8700
2275,14784.41,21.426681,1.368302,4.980733,4.040380,11.9946,690,7,2.0,1.2,150,160,300,30,7,MAX_RECOVERY_STEPS_GT_3,115.8612
1917,10423.03,15.937355,1.296374,5.576467,3.338651,9.3628,654,6,2.0,1.6,300,120,260,15,5,MAX_RECOVERY_STEPS_GT_3,115.7256
