window,index,time,pnl,equity,dd_pct
BWD,6,2020-05-27 10:11:40,2.78,10050.79,0.000000
BWD,7,2020-05-27 13:06:40,2.83,10053.62,0.000000
BWD,8,2020-05-27 16:53:40,3.68,10057.30,0.000000
BWD,9,2020-06-04 04:29:20,1.07,10058.37,0.000000
BWD,10,2020-06-08 04:13:40,3.12,10061.49,0.000000
BWD,11,2020-08-12 05:06:40,-90.81,9970.68,0.902550
BWD,12,2020-08-12 09:10:40,8.60,9979.28,0.817076
BWD,13,2020-09-21 20:30:40,4.68,9983.96,0.770562
BWD,14,2020-09-23 12:09:40,5.87,9989.83,0.712221
BWD,15,2020-09-23 16:15:20,6.08,9995.91,0.651792
BWD,16,2020-09-24 19:02:40,3.20,9999.11,0.619988
BWD,17,2020-10-29 02:43:00,3.11,10002.22,0.589078
BWD,18,2020-10-29 16:32:40,3.76,10005.98,0.551708
BWD,19,2020-10-30 04:47:40,3.44,10009.42,0.517518
BWD,20,2020-11-19 21:09:40,4.17,10013.59,0.476073
BWD,21,2020-12-03 10:01:20,-6.04,10007.55,0.536103
BWD,22,2021-01-11 01:05:00,9.67,10017.22,0.439994
BWD,23,2021-01-11 04:47:40,6.98,10024.20,0.370621
BWD,24,2021-01-11 08:32:40,7.90,10032.10,0.292104
BWD,25,2021-01-11 16:39:40,7.29,10039.39,0.219649
BWD,26,2021-02-04 14:48:40,3.81,10043.20,0.181782
BWD,27,2021-02-05 18:55:40,3.42,10046.62,0.147791
BWD,28,2021-02-22 11:26:40,0.13,10046.75,0.146499
BWD,29,2021-02-26 23:20:40,6.00,10052.75,0.086866
BWD,30,2021-03-02 12:41:40,5.56,10058.31,0.031606
BWD,31,2021-03-05 08:01:40,4.87,10063.18,0.000000
BWD,32,2021-03-31 19:51:40,2.67,10065.85,0.000000
BWD,33,2021-06-04 10:01:40,2.25,10068.10,0.000000
BWD,34,2021-06-04 15:16:40,3.70,10071.80,0.000000
BWD,35,2021-06-14 17:32:40,4.09,10075.89,0.000000
BWD,36,2021-06-17 01:46:40,4.78,10080.67,0.000000
BWD,37,2021-06-17 04:58:40,3.90,10084.57,0.000000
BWD,38,2021-07-14 15:12:40,-16.42,10068.15,0.162823
BWD,39,2021-08-09 01:57:40,-90.81,9977.34,1.063308
BWD,40,2021-08-09 04:02:40,6.57,9983.91,0.998159
BWD,41,2021-08-09 08:28:40,6.02,9989.93,0.938463
BWD,42,2021-08-11 18:47:40,2.23,9992.16,0.916350
BWD,43,2021-09-08 03:40:40,2.47,9994.63,0.891858
BWD,44,2021-09-09 11:13:40,0.36,9994.99,0.888288
BWD,45,2021-09-17 11:56:40,2.15,9997.14,0.866968
BWD,46,2021-09-17 17:03:40,3.74,10000.88,0.829882
BWD,47,2021-09-20 01:05:40,2.64,10003.52,0.803703
BWD,48,2021-09-20 08:46:40,3.25,10006.77,0.771476
BWD,49,2021-11-03 20:23:20,2.66,10009.43,0.745099
BWD,50,2021-11-23 03:44:40,2.68,10012.11,0.718523
BWD,51,2021-11-26 13:27:40,-1.68,10010.43,0.735183
BWD,52,2022-01-27 16:08:40,3.33,10013.76,0.702162
BWD,53,2022-01-27 21:10:40,3.58,10017.34,0.666662
BWD,54,2022-02-01 07:11:40,0.98,10018.32,0.656944
BWD,55,2022-03-29 16:49:20,4.67,10022.99,0.610636
BWD,56,2022-04-25 10:11:40,3.68,10026.67,0.574144
BWD,57,2022-05-12 19:56:40,-105.36,9921.31,1.618909
BWD,58,2022-05-16 12:27:40,4.42,9925.73,1.575080
BWD,59,2022-06-15 04:13:40,3.96,9929.69,1.535812
BWD,60,2022-07-01 16:04:20,4.26,9933.95,1.493569
BWD,61,2022-07-06 03:55:40,2.59,9936.54,1.467886
BWD,62,2022-07-06 09:48:40,3.14,9939.68,1.436749
BWD,63,2022-08-01 12:39:40,-17.78,9921.90,1.613058
BWD,64,2022-08-22 05:24:40,2.45,9924.35,1.588764
BWD,65,2022-08-23 16:49:40,2.48,9926.83,1.564172
BWD,66,2022-08-29 09:47:20,2.85,9929.68,1.535911
BWD,67,2022-08-29 13:25:40,3.62,9933.30,1.500014
BWD,68,2022-08-31 16:47:40,4.04,9937.34,1.459953
BWD,69,2022-09-01 12:44:20,2.60,9939.94,1.434171
BWD,70,2022-09-02 10:39:40,2.02,9941.96,1.414141
BWD,71,2022-09-15 20:28:40,3.72,9945.68,1.377253
BWD,72,2022-09-16 17:07:40,3.26,9948.94,1.344926
BWD,73,2022-09-26 04:00:40,8.51,9957.45,1.260540
BWD,74,2022-10-10 20:49:40,3.62,9961.07,1.224643
BWD,75,2022-10-11 03:49:40,3.35,9964.42,1.191424
BWD,76,2022-10-11 08:55:40,3.49,9967.91,1.156817
