sha1,duplicate_count,path
7ec6b261cd00661fe787655b36eada1b01e79194,5,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_report.html
a1609ecdedbd9abe5aa93034ca90e1b944741b8b,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\ReportTester-146237-holding.png
a1609ecdedbd9abe5aa93034ca90e1b944741b8b,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\raw_exports\ReportTester-146237-holding.png
56fd86ce7aa5ca59f71a6144b98a8ac6b0d18107,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\ReportTester-146237-hst.png
56fd86ce7aa5ca59f71a6144b98a8ac6b0d18107,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\raw_exports\ReportTester-146237-hst.png
02a6c9e8585346b1df08127323e5959d9b16fa7a,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\ReportTester-146237-mfemae.png
02a6c9e8585346b1df08127323e5959d9b16fa7a,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\raw_exports\ReportTester-146237-mfemae.png
ba7b8d34ae7f6e6dc2f805e4cec0a866c86ce413,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\ReportTester-146237.png
ba7b8d34ae7f6e6dc2f805e4cec0a866c86ce413,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\raw_exports\ReportTester-146237.png
173c61a1922facdffc4772ca6be3e365ab088d35,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\ReportTester-146237.xlsx
173c61a1922facdffc4772ca6be3e365ab088d35,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\raw_exports\ReportTester-146237.xlsx
ff74a9f694efa4c3a8d60f453588b9af8606913a,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\risk cap.set
ff74a9f694efa4c3a8d60f453588b9af8606913a,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\raw_exports\risk_cap_exported.set
cc480e395b378f02392a9f560f34bd3d3925ec24,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\risk_cap_diagnostics.csv
cc480e395b378f02392a9f560f34bd3d3925ec24,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\risk_cap_v1_run_002_risk_cap_diagnostics.csv
cc480e395b378f02392a9f560f34bd3d3925ec24,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\risk_cap_v1_run_002_risk_cap_diagnostics.csv
cc480e395b378f02392a9f560f34bd3d3925ec24,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_risk_cap_diagnostics.csv
105ff4d3e736299ccbfa2665c94f791601bea784,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\risk_cap_summary.txt
105ff4d3e736299ccbfa2665c94f791601bea784,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_risk_cap_summary.txt
c53788b26e292442461bf10cba05be350a6a7554,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\run_002_validation_summary.md
c53788b26e292442461bf10cba05be350a6a7554,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_validation_summary.md
c7b3c9cd1a4d199ea4a9cb76a7531d563f8daf2d,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\run_context.yaml
c7b3c9cd1a4d199ea4a9cb76a7531d563f8daf2d,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_run_context.yaml
5b4645589dd774964b41d5c4d7b91f7face600db,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_002_risk_cap_v1\trade_list.csv
5b4645589dd774964b41d5c4d7b91f7face600db,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\risk_cap_v1_run_002_trade_list.csv
5b4645589dd774964b41d5c4d7b91f7face600db,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\risk_cap_v1_run_002_trade_list.csv
5b4645589dd774964b41d5c4d7b91f7face600db,4,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\reports\latest\risk_cap_v1_run_002_trade_list.csv
d7b27cf2aa4ac608df55dd62679cb08a74f4498e,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260511.log
d7b27cf2aa4ac608df55dd62679cb08a74f4498e,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260511.log
96c37325e3ba797533577a90c0091f86e2e8e4fc,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260515.log
96c37325e3ba797533577a90c0091f86e2e8e4fc,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260515.log
fb8c19b538dc0ee7922ad1a81d6f240330c3b612,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\backtest\manual_runs\run_003_counter_validation\20260516.log
fb8c19b538dc0ee7922ad1a81d6f240330c3b612,2,C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\20260516.log
