source_path,source_file,strategy,symbol,Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSwingPeriod,InpRiskReward,InpLotMultiplier,InpMinGapPts,InpTakeProfitUSD,InpDailyTargetUSD,InpSLBufferPts,InpMaxRecoverySteps,reject_reasons,score,risk_adjusted_score,risk_band,selection_flag,plan_reject_reasons,Result,Custom,InpCooldownBarsAfterStop
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2114.0,14439.82,20.98811,1.372517,5.582225,4.008949,11.4753,688.0,7.0,2.0,1.2,150.0,120.0,300.0,15.0,7.0,MAX_RECOVERY_STEPS_GT_3,125.1391,81.63,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2114.0,14439.82,20.98811,1.372517,5.582225,4.008949,11.4753,688.0,7.0,2.0,1.2,150.0,120.0,300.0,15.0,7.0,,,81.63,Conservative,True,,24439.82,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,1932.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,2.0,450.0,120.0,260.0,45.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.4148,81.05,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,1406.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,1.6,450.0,120.0,260.0,45.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.4148,81.05,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,1932.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,2.0,450.0,120.0,260.0,45.0,5.0,,181.4148,81.05,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED;SL_BUFFER_OUT_OF_SAFE_RANGE,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,1406.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,1.6,450.0,120.0,260.0,45.0,5.0,,181.4148,81.05,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED;SL_BUFFER_OUT_OF_SAFE_RANGE,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,1932.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,2.0,450.0,120.0,260.0,45.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.4148,81.05,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,1406.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,1.6,450.0,120.0,260.0,45.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.4148,81.05,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,1932.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,2.0,450.0,120.0,260.0,45.0,5.0,,,81.05,Conservative,True,,24004.7,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,1406.0,14004.7,21.612191,1.385106,5.819482,4.15527,10.1403,648.0,6.0,2.0,1.6,450.0,120.0,260.0,45.0,5.0,,,81.05,Conservative,True,,24004.7,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2166.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,2.0,450.0,120.0,260.0,30.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.37,81.02,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2015.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,1.6,450.0,120.0,260.0,30.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.37,81.02,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2166.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,2.0,450.0,120.0,260.0,30.0,5.0,,181.37,81.02,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2015.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,1.6,450.0,120.0,260.0,30.0,5.0,,181.37,81.02,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2166.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,2.0,450.0,120.0,260.0,30.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.37,81.02,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2015.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,1.6,450.0,120.0,260.0,30.0,5.0,MAX_RECOVERY_STEPS_GT_3,131.37,81.02,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2166.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,2.0,450.0,120.0,260.0,30.0,5.0,,,81.02,Conservative,True,,23988.01,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2015.0,13988.01,21.553174,1.386841,5.810374,4.159099,10.1512,649.0,6.0,2.0,1.6,450.0,120.0,260.0,30.0,5.0,,,81.02,Conservative,True,,23988.01,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2253.0,13755.79,21.260881,1.389471,5.969281,4.098185,9.8607,647.0,6.0,2.0,2.0,450.0,120.0,260.0,15.0,5.0,MAX_RECOVERY_STEPS_GT_3,133.4405,80.62,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2253.0,13755.79,21.260881,1.389471,5.969281,4.098185,9.8607,647.0,6.0,2.0,2.0,450.0,120.0,260.0,15.0,5.0,,183.4405,80.62,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2253.0,13755.79,21.260881,1.389471,5.969281,4.098185,9.8607,647.0,6.0,2.0,2.0,450.0,120.0,260.0,15.0,5.0,MAX_RECOVERY_STEPS_GT_3,133.4405,80.62,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2253.0,13755.79,21.260881,1.389471,5.969281,4.098185,9.8607,647.0,6.0,2.0,2.0,450.0,120.0,260.0,15.0,5.0,,,80.62,Conservative,True,,23755.79,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2079.0,13945.7,20.38845,1.359322,5.391205,3.923658,11.6521,684.0,7.0,2.0,1.2,150.0,120.0,260.0,45.0,7.0,MAX_RECOVERY_STEPS_GT_3,120.4427,80.51,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2079.0,13945.7,20.38845,1.359322,5.391205,3.923658,11.6521,684.0,7.0,2.0,1.2,150.0,120.0,260.0,45.0,7.0,,170.4427,80.51,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED;SL_BUFFER_OUT_OF_SAFE_RANGE,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2079.0,13945.7,20.38845,1.359322,5.391205,3.923658,11.6521,684.0,7.0,2.0,1.2,150.0,120.0,260.0,45.0,7.0,MAX_RECOVERY_STEPS_GT_3,120.4427,80.51,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2079.0,13945.7,20.38845,1.359322,5.391205,3.923658,11.6521,684.0,7.0,2.0,1.2,150.0,120.0,260.0,45.0,7.0,,,80.51,Conservative,True,,23945.7,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2165.0,13931.82,20.338423,1.360555,5.385839,3.929068,11.6586,685.0,7.0,2.0,1.2,150.0,120.0,260.0,30.0,7.0,MAX_RECOVERY_STEPS_GT_3,120.459,80.48,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2165.0,13931.82,20.338423,1.360555,5.385839,3.929068,11.6586,685.0,7.0,2.0,1.2,150.0,120.0,260.0,30.0,7.0,,170.459,80.48,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2165.0,13931.82,20.338423,1.360555,5.385839,3.929068,11.6586,685.0,7.0,2.0,1.2,150.0,120.0,260.0,30.0,7.0,MAX_RECOVERY_STEPS_GT_3,120.459,80.48,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2165.0,13931.82,20.338423,1.360555,5.385839,3.929068,11.6586,685.0,7.0,2.0,1.2,150.0,120.0,260.0,30.0,7.0,,,80.48,Conservative,True,,23931.82,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_valid_candidates.csv,pass_1_valid_candidates.csv,analyzed,,1232.0,7372.56,11.872077,1.27833,4.5558,2.576514,10.7446,621.0,5.0,1.5,1.6,100.0,120.0,220.0,45.0,3.0,,138.5079,80.39,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,1531.0,13874.77,20.255139,1.359288,5.363785,3.90982,11.6878,685.0,7.0,2.0,1.2,150.0,120.0,260.0,15.0,7.0,MAX_RECOVERY_STEPS_GT_3,119.8278,80.35,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,1531.0,13874.77,20.255139,1.359288,5.363785,3.90982,11.6878,685.0,7.0,2.0,1.2,150.0,120.0,260.0,15.0,7.0,,169.8278,80.35,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,1531.0,13874.77,20.255139,1.359288,5.363785,3.90982,11.6878,685.0,7.0,2.0,1.2,150.0,120.0,260.0,15.0,7.0,MAX_RECOVERY_STEPS_GT_3,119.8278,80.35,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,1531.0,13874.77,20.255139,1.359288,5.363785,3.90982,11.6878,685.0,7.0,2.0,1.2,150.0,120.0,260.0,15.0,7.0,,,80.35,Conservative,True,,23874.77,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2053.0,13467.44,19.775977,1.369663,8.872825,3.960087,7.3629,681.0,7.0,2.0,1.0,100.0,120.0,260.0,45.0,7.0,MAX_RECOVERY_STEPS_GT_3,178.2583,80.32,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2053.0,13467.44,19.775977,1.369663,8.872825,3.960087,7.3629,681.0,7.0,2.0,1.0,100.0,120.0,260.0,45.0,7.0,,228.2583,80.32,Conservative,True,MAX_RECOVERY_STEPS_GT_3;GAP_OUT_OF_SAFE_RANGE;DAILY_TARGET_WAS_OPTIMIZED;SL_BUFFER_OUT_OF_SAFE_RANGE,,,
